cap-texture,spore-pattern,stem-flexibility,ring-thickness,cap-shape,cap-surface:%3F,cap-color,gill-attachment,stalk-shape,veil-type,veil-color,ring-number,population,habitat,class
b'j',b'i',b'a',b'a',b'x',b's',b'n',b'f',b'e',b'p',b'w',b'o',b's',b'u',b'p'
b'm',b'g',b'f',b'c',b'x',b's',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'm',b'c',b'e',b'a',b'b',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'e',b'i',b'j',b'b',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'u',b'p'
b'b',b'i',b'h',b'b',b'x',b's',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'e',b'f',b'h',b'c',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'h',b'a',b'c',b'c',b'b',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'b',b'j',b'e',b'a',b'b',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'p',b'd',b'j',b'c',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'v',b'g',b'p'
b'n',b'm',b'c',b'c',b'b',b's',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'a',b'o',b'a',b'c',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'e',b'i',b'j',b'a',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'l',b'e',b'c',b'c',b'b',b's',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'g',b'b',b'b',b'b',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'p'
b'g',b'n',b'a',b'c',b'x',b'f',b'n',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'e',b'c',b'i',b'a',b's',b'f',b'g',b'f',b'e',b'p',b'w',b'o',b'y',b'u',b'e'
b'r',b'g',b'b',b'c',b'f',b'f',b'w',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'n',b'h',b'b',b'c',b'x',b's',b'n',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'p'
b's',b'm',b'a',b'b',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'u',b'p'
b'f',b'i',b'b',b'b',b'x',b's',b'n',b'f',b'e',b'p',b'w',b'o',b's',b'u',b'p'
b'h',b'f',b'f',b'b',b'b',b's',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'i',b'h',b'c',b'c',b'x',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b'v',b'g',b'p'
b'g',b'e',b'e',b'b',b'b',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'j',b'g',b'h',b'a',b'b',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'i',b'g',b'a',b'a',b'b',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'l',b'd',b'i',b'c',b'f',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'v',b'g',b'p'
b'h',b'l',b'i',b'a',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'l',b'j',b'a',b'b',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'd',b'd',b'h',b'c',b'f',b'f',b'n',b'f',b'e',b'p',b'w',b'o',b'y',b'u',b'e'
b'f',b'o',b'e',b'a',b'x',b's',b'y',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'a',b'l',b'g',b'c',b'b',b's',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'd',b'o',b'f',b'b',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'u',b'p'
b's',b'm',b'd',b'c',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'h',b'l',b'i',b'b',b'x',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b'y',b'p',b'e'
b'k',b'h',b'e',b'a',b'b',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'c',b'm',b'c',b'c',b'x',b'f',b'y',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'g',b'd',b'f',b'a',b's',b'f',b'g',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'e'
b'h',b'f',b'e',b'b',b'x',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b's',b'u',b'p'
b's',b'e',b'b',b'a',b'x',b'f',b'y',b'f',b't',b'p',b'w',b'o',b'v',b'd',b'e'
b'd',b'b',b'g',b'a',b'b',b's',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'e',b'o',b'h',b'b',b'b',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'k',b'e',b'i',b'c',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'y',b'p',b'e'
b'e',b'l',b'g',b'a',b'x',b'f',b'n',b'f',b'e',b'p',b'w',b'o',b'y',b'u',b'e'
b'q',b'g',b'j',b'a',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'v',b'g',b'p'
b'f',b'e',b'e',b'c',b'x',b's',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b's',b'j',b'b',b'b',b'x',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'i',b'a',b'b',b'c',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'c',b'l',b'i',b'a',b'x',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'm',b'o',b'e',b'b',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'p',b'e'
b'm',b'l',b'j',b'b',b'f',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'p',b'e'
b'a',b'o',b'b',b'c',b'x',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'p',b'a',b'j',b'a',b'x',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'g',b'i',b'f',b'a',b'b',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'q',b'c',b'j',b'b',b'x',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'p'
b'a',b'g',b'h',b'a',b'x',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'p'
b'b',b'i',b'g',b'a',b'b',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'a',b'a',b'b',b'b',b'f',b'f',b'g',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'h',b'a',b'h',b'c',b'b',b's',b'w',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'i',b'k',b'j',b'c',b'x',b's',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
b'k',b'b',b'j',b'b',b'x',b'y',b'n',b'f',b'e',b'p',b'w',b'o',b'y',b'p',b'e'
b'q',b'b',b'j',b'b',b's',b'f',b'g',b'f',b'e',b'p',b'w',b'o',b'v',b'u',b'e'
b'k',b'k',b'c',b'c',b'b',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'j',b'k',b'e',b'c',b'b',b's',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'm',b'e'
b'p',b'l',b'f',b'b',b'b',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'm',b'e'
b'j',b'd',b'i',b'a',b'b',b'y',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'j',b'h',b'e',b'b',b'f',b's',b'n',b'f',b't',b'p',b'w',b'o',b'a',b'g',b'e'
b'h',b'a',b'e',b'b',b'x',b's',b'w',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'q',b'c',b'g',b'c',b'f',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b's',b'g',b'e'
b'e',b'j',b'a',b'b',b'x',b'y',b'y',b'f',b'e',b'p',b'w',b'o',b'n',b'g',b'e'
